Dendritic cell	Batf3, Ifi205, Mycl, Slamf7
Eosinophil	Epx, Il15, Il4, Mpo, Prg2, Prg3
Granulocyte	Camp, Cebpe, Chd7, Far2, Gfi1, Lyz1, Mapk31, Prkcb, S100a8, Tanc1, Tmem53, Trem3
Hematopoietic stem cell progenitor cell	Alox5, Csf1, Egr1, Fos, Gata1, Gata2, Gfi1b, Ikzf2, Jun
Hematopoietic stem cell	Btg2, Ctla2a, Egr1, Fosb, Gata2, Gm17757, Hlf, Ikzf2, Mecom, Meis1, Mpl, Pbx1, Pigr, Ptrf, Satb1, Sox4, Tsc22d1
Macrophage and dendritic cell precursor cell	CD115, CD135, Cx3cr1
Monocyte	Ctss, Cybb, Irf8, Ly6a, Slpi
Myeloid progenitor cell	Kcnip3, Med21, Sgms2, Tfec
Neutrophil	Cebpe, Csf3r, Elane, Gfi1
Red blood cell (erythrocyte)	Car1, Clec4d, Gata1, Gfi1b, Klf1, Mfsd2b, Nfia, Slc45a3

